State,NAICS Code,NAICS Description,Total Employment
Minnesota,56,Administrative and Support and Waste Management and Remediation Services,166463.0
Minnesota,61,Educational Services,72216.0
Minnesota,62,Health Care and Social Assistance,460279.0
Minnesota,71,"Arts, Entertainment, and Recreation",48324.0
Minnesota,72,Accommodation and Food Services,243181.0
Minnesota,81,Other Services (except Public Administration),118202.0
Minnesota,99,Industries not classified,316.0
Mississippi,--,Total,939322.0
Mississippi,11,"Agriculture, Forestry, Fishing and Hunting",5145.0
Mississippi,21,"Mining, Quarrying, and Oil and Gas Extraction",3904.0
Mississippi,22,Utilities,9398.0
Mississippi,23,Construction,44551.0
Mississippi,31-33,Manufacturing,143226.0
Mississippi,42,Wholesale Trade,37272.0
Mississippi,44-45,Retail Trade,146030.0
Mississippi,48-49,Transportation and Warehousing,38944.0
Mississippi,51,Information,13464.0
Mississippi,52,Finance and Insurance,35414.0
Mississippi,53,Real Estate and Rental and Leasing,10257.0
Mississippi,54,"Professional, Scientific, and Technical Services",30209.0
Mississippi,55,Management of Companies and Enterprises,8499.0
Mississippi,56,Administrative and Support and Waste Management and Remediation Services,55059.0
Mississippi,61,Educational Services,15774.0
Mississippi,62,Health Care and Social Assistance,165677.0
Mississippi,71,"Arts, Entertainment, and Recreation",9152.0
Mississippi,72,Accommodation and Food Services,128306.0
Mississippi,81,Other Services (except Public Administration),38904.0
Mississippi,99,Industries not classified,137.0
Missouri,--,Total,2494720.0
Missouri,11,"Agriculture, Forestry, Fishing and Hunting",1615.0
Missouri,21,"Mining, Quarrying, and Oil and Gas Extraction",3541.0
Missouri,22,Utilities,15561.0
Missouri,23,Construction,121494.0
Missouri,31-33,Manufacturing,260451.0
Missouri,42,Wholesale Trade,126170.0
Missouri,44-45,Retail Trade,324717.0
Missouri,48-49,Transportation and Warehousing,87182.0
Missouri,51,Information,58009.0
Missouri,52,Finance and Insurance,131863.0
Missouri,53,Real Estate and Rental and Leasing,36906.0
Missouri,54,"Professional, Scientific, and Technical Services",156958.0
Missouri,55,Management of Companies and Enterprises,86413.0
Missouri,56,Administrative and Support and Waste Management and Remediation Services,174247.0
Missouri,61,Educational Services,73871.0
Missouri,62,Health Care and Social Assistance,420073.0
Missouri,71,"Arts, Entertainment, and Recreation",41029.0
Missouri,72,Accommodation and Food Services,260430.0
Missouri,81,Other Services (except Public Administration),112527.0
Missouri,99,Industries not classified,1663.0
Montana,--,Total,378463.0
Montana,11,"Agriculture, Forestry, Fishing and Hunting",939.0
Montana,21,"Mining, Quarrying, and Oil and Gas Extraction",6012.0
Montana,22,Utilities,3080.0
Montana,23,Construction,25036.0
Montana,31-33,Manufacturing,18355.0
Montana,42,Wholesale Trade,16643.0
Montana,44-45,Retail Trade,59582.0
Montana,48-49,Transportation and Warehousing,13412.0
Montana,51,Information,8503.0
Montana,52,Finance and Insurance,16982.0
Montana,53,Real Estate and Rental and Leasing,5774.0
Montana,54,"Professional, Scientific, and Technical Services",20616.0
Montana,55,Management of Companies and Enterprises,3803.0
Montana,56,Administrative and Support and Waste Management and Remediation Services,24473.0
Montana,61,Educational Services,6175.0
Montana,62,Health Care and Social Assistance,70286.0
Montana,71,"Arts, Entertainment, and Recreation",10712.0
Montana,72,Accommodation and Food Services,51557.0
Montana,81,Other Services (except Public Administration),16424.0
Montana,99,Industries not classified,99.0
