NAICS Code,NAICS Description,Total Employment,State
11,"Agriculture, forestry, fishing and hunting",3498.0,Maine
21,"Mining, quarrying, and oil and gas extraction",98.0,Maine
22,Utilities,0.0,Maine
23,Construction,23384.0,Maine
31-33,Manufacturing,53059.0,Maine
42,Wholesale trade,17824.0,Maine
44-45,Retail trade,80297.0,Maine
48-49,Transportation and warehousing,15289.0,Maine
51,Information,12889.0,Maine
52,Finance and insurance,26966.0,Maine
53,Real estate and rental and leasing,6596.0,Maine
54,"Professional, scientific, and technical services",23832.0,Maine
55,Management of companies and enterprises,7654.0,Maine
56,Administrative and support and waste management and remediation services,22244.0,Maine
61,Educational services,15016.0,Maine
62,Health care and social assistance,107183.0,Maine
71,"Arts, entertainment, and recreation",7366.0,Maine
72,Accommodation and food services,44954.0,Maine
81,Other services (except public administration),18448.0,Maine
99,Industries not classified,60.0,Maine
--,Total,2122388.0,Maryland
11,"Agriculture, forestry, fishing and hunting",922.0,Maryland
21,"Mining, quarrying, and oil and gas extraction",1484.0,Maryland
22,Utilities,10485.0,Maryland
23,Construction,156153.0,Maryland
31-33,Manufacturing,111657.0,Maryland
42,Wholesale trade,91290.0,Maryland
44-45,Retail trade,277332.0,Maryland
48-49,Transportation and warehousing,62747.0,Maryland
51,Information,56648.0,Maryland
52,Finance and insurance,109188.0,Maryland
53,Real estate and rental and leasing,45737.0,Maryland
54,"Professional, scientific, and technical services",227003.0,Maryland
55,Management of companies and enterprises,49440.0,Maryland
56,Administrative and support and waste management and remediation services,175308.0,Maryland
61,Educational services,75930.0,Maryland
62,Health care and social assistance,331581.0,Maryland
71,"Arts, entertainment, and recreation",36509.0,Maryland
72,Accommodation and food services,193155.0,Maryland
81,Other services (except public administration),109577.0,Maryland
99,Industries not classified,242.0,Maryland
--,Total,2967877.0,Massachusetts
11,"Agriculture, forestry, fishing and hunting",1246.0,Massachusetts
21,"Mining, quarrying, and oil and gas extraction",1193.0,Massachusetts
22,Utilities,12660.0,Massachusetts
23,Construction,114232.0,Massachusetts
31-33,Manufacturing,239914.0,Massachusetts
42,Wholesale trade,135386.0,Massachusetts
44-45,Retail trade,343226.0,Massachusetts
48-49,Transportation and warehousing,77281.0,Massachusetts
51,Information,100551.0,Massachusetts
52,Finance and insurance,209550.0,Massachusetts
53,Real estate and rental and leasing,43746.0,Massachusetts
54,"Professional, scientific, and technical services",251629.0,Massachusetts
